# Curación manual verificada -- polémicas Selección Colombia (Néstor Lorenzo, caso Sebastián Villa) (2026)
https://www.eltiempo.com/deportes/futbol-internacional/nestor-lorenzo-salio-al-paso-de-la-polemica-por-supuesto-desplante-de-james-rodriguez-tenemos-que-estar-blindados-ante-las-criticas-3562531,Noticia dura
https://www.eltiempo.com/unidad-investigativa/los-testimonios-por-violencia-de-genero-contra-el-jugador-sebastian-villa-que-desataron-polemica-tras-su-inclusion-en-listado-para-el-mundial-3555864,Noticia dura
https://www.eltiempo.com/deportes/futbol-internacional/presencia-de-sebastian-villa-en-la-prelista-de-colombia-para-el-mundial-de-2026-desata-impresionante-polemica-nestor-lorenzo-senalado-3555733,Noticia dura
https://www.eltiempo.com/deportes/futbol-internacional/defensora-iris-marin-cuestiona-que-sebastian-villa-represente-a-colombia-en-el-mundial-3556345,Noticia dura
https://www.eltiempo.com/deportes/futbol-internacional/seleccion-colombia-colectivo-de-periodistas-cuestiona-la-inclusion-de-sebastian-villa-en-la-prelista-del-mundial-con-mensaje-para-nestor-lorenzo-3557042,Noticia dura
https://www.eltiempo.com/deportes/futbol-internacional/polemicas-revelaciones-y-realidades-de-la-lista-previa-de-la-seleccion-colombia-nestor-lorenzo-destapo-sus-cartas-3555914,Noticia dura
https://www.eltiempo.com/opinion/columnistas/el-espejo-que-colombia-evita-3570759,Opinión-análisis
https://www.eltiempo.com/opinion/columnistas/lo-que-el-mundial-le-esta-devolviendo-a-colombia-3567783,Opinión-análisis
https://www.eltiempo.com/opinion/columnistas/todo-lo-que-no-me-gusta-es-robo-3570630,Opinión-análisis
https://www.eltiempo.com/opinion/editorial/lo-que-deja-el-mundial-3570067,Opinión-análisis
https://www.eltiempo.com/opinion/editorial/los-3558640,Opinión-análisis
https://www.eltiempo.com/opinion/columnistas/aqui-ya-perdimos-todos-3564335,Opinión-análisis
