# Curación manual verificada -- polémicas Selección Colombia (Néstor Lorenzo, caso Sebastián Villa) y arbitraje Dimayor (2026)
https://www.infobae.com/colombia/deportes/2026/07/23/carlos-antonio-velez-estallo-por-la-renovacion-de-nestor-lorenzo-en-la-seleccion-colombia-viva-la-mediocridad/,Noticia dura
https://www.infobae.com/colombia/deportes/2026/05/20/sebastian-villa-es-defendido-por-la-acolfutpro-en-prelista-de-seleccion-colombia-los-mejores-tienen-que-representarnos/,Noticia dura
https://www.infobae.com/colombia/deportes/2026/05/22/la-federacion-colombiana-de-futbol-habria-pedido-que-no-convoquen-a-un-jugador-para-el-mundial-2026/,Noticia dura
https://www.infobae.com/colombia/deportes/2026/05/15/francisco-pacho-maturana-analizo-la-prelista-de-colombia-y-defendio-a-nestor-lorenzo-todos-tienen-razon-menos-el-dt/,Noticia dura
https://www.infobae.com/colombia/deportes/2026/07/24/nestor-lorenzo-estaria-obligado-a-seguir-con-james-rodriguez-en-la-seleccion-colombia-este-es-el-motivo/,Noticia dura
https://www.infobae.com/colombia/deportes/2026/08/28/periodista-deportivo-le-canto-la-tabla-a-la-dimayor-por-polemicas-arbitrales-en-la-victoria-de-millonarios-por-la-liga-betplay-yo-se-que-esto-me-puede-costar-la-credencial/,Noticia dura
https://www.infobae.com/colombia/deportes/2026/01/27/la-uci-notifico-el-primer-caso-positivo-de-dopaje-en-el-ciclismo-colombiano-en-2026/,Noticia dura
https://www.infobae.com/colombia/deportes/2026/08/20/la-seleccion-colombia-anuncio-sus-partidos-amistosos-de-la-proxima-fecha-fifa-y-ya-hay-polemica-por-la-presencia-de-james-rodriguez-en-los-carteles-de-promocion/,Noticia dura
https://www.infobae.com/colombia/deportes/2026/07/08/james-rodriguez-se-olvidaria-de-la-seleccion-colombia-y-la-tusa-del-mundial-2026-seria-fichaje-de-un-historico-equipo/,Noticia dura
https://www.infobae.com/colombia/deportes/2026/03/23/james-rodriguez-el-jugador-que-preocupa-a-nestor-lorenzo-en-la-ultima-convocatoria-de-la-seleccion-colombia-antes-del-mundial-2026/,Noticia dura
https://www.infobae.com/colombia/deportes/2026/07/08/james-rodriguez-habria-generado-resistencia-dentro-del-plantel-por-su-convocatoria-al-mundial-2026/,Noticia dura
https://www.infobae.com/colombia/deportes/2026/05/26/asi-ve-la-prensa-internacional-la-convocatoria-de-la-seleccion-colombia-para-la-copa-mundial-de-la-fifa-2026-sera-el-ultimo-baile-de-james/,Noticia dura
