# Curación manual verificada -- polémicas Selección Colombia (Néstor Lorenzo, caso Sebastián Villa) (2026)
https://www.semana.com/deportes/articulo/nestor-lorenzo-no-aguanta-criticas-y-contesto-por-convocatoria-de-colombia-se-quejan/202549/,Noticia dura
https://www.semana.com/deportes/articulo/asi-fue-el-portazo-de-la-seleccion-colombia-contra-sebastian-villa-escandalo-judicial-le-peso/202654/,Noticia dura
https://www.semana.com/deportes/articulo/defensora-del-pueblo-cuestiona-el-llamado-de-sebastian-villa-a-la-seleccion-colombia-fuerte-pronunciamiento/202654/,Noticia dura
https://www.semana.com/deportes/articulo/la-frase-de-lorenzo-que-habria-dividido-a-la-seleccion-colombia-en-el-mundial-2026-se-pidio-respeto-y-habria-peleas/202635/,Noticia dura
https://www.semana.com/deportes/articulo/hinchas-de-liverpool-cargan-contra-directivos-por-luis-diaz-venta-al-bayern-detona-caos/202550/,Noticia dura
https://www.semana.com/deportes/articulo/deportivo-cali-recibe-dura-noticia-harold-preciado-debera-pagar-sancion-por-dopaje/202546/,Noticia dura
https://www.semana.com/deportes/articulo/nestor-lorenzo-tendria-su-fecha-de-salida-en-seleccion-colombia-ruido-de-cara-al-mundial-2026/202649/,Noticia dura
https://www.semana.com/deportes/articulo/no-sigue-dan-version-sobre-el-futuro-de-nestor-lorenzo-y-genera-ruido-en-seleccion-colombia/202647/,Noticia dura
https://www.semana.com/deportes/articulo/nestor-lorenzo-hablo-sobre-su-futuro-en-seleccion-colombia-fue-claro-y-se-armo-debate/202616/,Noticia dura
https://www.semana.com/deportes/articulo/nestor-lorenzo-sacan-verdad-del-adios-del-dt-de-colombia-tras-el-mundial-2026-gustenos-o-no/202603/,Noticia dura
https://www.semana.com/deportes/articulo/nestor-lorenzo-y-las-dos-decisiones-que-habria-tomado-para-transformar-a-la-seleccion-colombia/202654/,Noticia dura
https://www.semana.com/deportes/articulo/nestor-lorenzo-le-hace-guino-a-su-continuidad-y-apunta-a-la-copa-america-sus-palabras-retumban-en-colombia/202624/,Noticia dura
